#online:true
#name:UTF-8 Unicode 5.2,UTF-16LE Unicode 5.2,UTF-16BE Unicode 5.2
#id:utf-8@unicode5_2,utf-16le@unicode5_2,utf-16be@unicode5_2
#type:bin
#pattern:
#base:unicode5_1
#description:為美國跨國公司Unicode Consortium所提出的業界標準。並於2009年10月公布Unicode 5.2版本，新增擴展C集(Extension C)共4,149字，達74,394個漢字，適用於WindowsVista／7等以上作業系統。
13-3D53	2AD30
13-3D5E	2AD4F
13-3D61	2A7EB
13-3D68	2ADB6
13-3D7B	2ADAA
13-3E2C	2ADB7
13-3E33	2ADB3
13-3E3D	2ADB1
13-3E3E	2ADBD
13-3E50	2ADAB
13-3E57	2ADB8
13-3E5A	2ADAC
13-3E60	2ADB9
13-3E6C	2ADB2
13-3E6D	2ADB4
13-3E72	2ADBA
13-3E7E	2AE47
13-3F21	2AE49
13-3F24	2AE4A
13-3F25	2AE4F
13-3F30	2AE51
13-3F3A	2AE4B
13-3F3E	2AE48
13-3F4A	2AE44
13-3F4D	2AE4C
13-3F5B	2AE94
13-3F6A	2AEB0
13-3F70	2AEC6
13-3F7C	2AEF3
13-4023	2AEF7
13-4024	2AEF4
13-402E	2AEFD
13-403D	2AEF8
13-4041	2AEFE
13-4057	2AEFF
13-4061	2AF35
13-4066	2AF5A
13-4067	2AF58
13-406C	2AF59
13-4076	2AF7F
13-4121	2AF91
13-412F	2AFAD
13-4130	2AFB0
13-4144	2AFCB
13-4149	2AFE4
13-414D	2AFE7
13-4150	2AFE9
13-415D	2AFE8
13-416B	2B01A
13-4223	2B01B
13-4231	2B03A
13-423B	2B03B
13-4247	2B052
13-424E	2A873
13-4259	2B066
13-4267	2B07E
13-4269	2B081
13-4277	2B07F
13-4278	2B082
13-4323	2B0C1
13-4328	2AAB7
13-4336	2B0E8
13-4337	2B0E7
13-433B	2B0EA
13-433F	2B0E5
13-4354	2B147
13-435C	2B168
13-4362	2B187
13-4363	2B184
13-436D	2B186
13-436E	2B185
13-4379	2B194
13-4421	2AC66
13-4425	2B1C7
13-4435	2B233
13-4445	2B22B
13-4448	2B22C
13-4449	2B22D
13-444D	2B226
13-4452	2B222
13-445D	2B223
13-4463	2B22E
13-4474	2B234
13-4475	2B22F
13-4524	2B227
13-452D	2B236
13-4540	2B2C0
13-4544	2B2C1
13-454A	2B302
13-454E	2B2FE
13-4556	2B31E
13-456D	2B33A
13-4575	2B38B
13-457D	2B396
13-4633	2B3B4
13-463F	2B3EB
13-4648	2B41B
13-4665	2B465
13-4671	2B491
13-4724	2B492
13-472C	2B494
13-4730	2B48F
13-4731	2B51F
13-4732	2B51C
13-473C	2B51D
13-473D	2B520
13-4743	2B54E
13-4755	2B562
13-4759	2B57A
13-4763	2B597
13-476C	2B605
13-4770	2B63A
13-4778	2B70B
13-477B	2B581
13-4826	2A71E
13-482F	2A765
13-4836	2A767
13-483B	2A768
13-4850	2AF82
13-4858	2AF08
13-485E	2A795
13-4864	2A7AD
13-4866	2A7A9
13-4873	2A7E5
13-4877	2A782
13-4939	2A87C
13-493F	2A878
13-4956	2A90E
13-495A	2A90F
13-4961	2A916
13-4963	2A912
13-496A	2A911
13-497A	2A917
13-4A29	2A95D
13-4A43	2A99B
13-4A48	2A99E
13-4A4A	2A999
13-4A64	2A9E4
13-4A68	2A9E3
13-4A6F	2AA19
13-4A77	2AA4F
13-4A79	2AA4C
13-4B27	2AA7B
13-4B29	2AAA0
13-4B3D	2A78B
13-4B3E	2AAD6
13-4B42	2AAD7
13-4B59	2AB13
13-4B6D	2AB20
13-4B7E	2ABA5
13-4C22	2ABAA
13-4C25	2ABA7
13-4C28	2ABA4
13-4C4B	2ABEA
13-4C57	2AC38
13-4C6B	2AC3C
13-4C70	2AC3B
13-4C7B	2B1AC
13-4D2B	2AC69
13-4D35	2ACCF
13-4D36	2ACD9
13-4D49	2ACDB
13-4D6C	2ACD5
13-4D71	2ACC8
13-4D72	2ACD0
13-4E2F	2ACD1
13-4E32	2AD31
13-4E38	2B1CE
13-4E3D	2AD46
13-4E42	2AD55
13-4E48	2ADBF
13-4E50	2ADC5
13-4E58	2ADC8
13-4E59	2ADC1
13-4E63	2ADC4
13-4F2B	2ADC6
13-4F31	2ADC0
13-4F3B	2AE55
13-4F3C	2AE5A
13-4F42	2AE56
13-4F43	2AE52
13-4F4E	2AE5B
13-4F62	2AE5C
13-4F69	2AE57
13-4F74	2AE64
13-5029	2AEB3
13-502B	2AEB1
13-5037	2AF0D
13-5039	2AF07
13-503F	2AF03
13-5049	2AF09
13-504A	2AEFC
13-5052	2AF0E
13-5061	2AF04
13-5065	2AEF9
13-5066	2AF05
13-506A	2AF0F
13-5072	2AF0A
13-5127	2AF5C
13-5134	2AF88
13-5135	2AF93
13-5141	2AFB1
13-5142	2AFB3
13-514D	2AFCC
13-5171	2B015
13-517B	2B01E
13-523C	2B03F
13-523F	2B03C
13-5249	2B03E
13-524E	2B043
13-5254	2B055
13-525E	2B068
13-5263	2B094
13-5267	2B084
13-5278	2B089
13-527A	2B087
13-5326	2B086
13-5329	2B08C
13-532B	2B0C2
13-5333	2B0C3
13-533B	2B0F0
13-533C	2B0ED
13-5345	2B0EC
13-5348	2B0F1
13-5352	2B0EF
13-5360	2B13B
13-5367	2B158
13-536D	2B16A
13-5429	2B188
13-542F	2B1AF
13-5431	2B1A9
13-543F	2B23E
13-544D	2B248
13-5453	2B242
13-545C	2B23C
13-545F	2B237
13-546E	2B246
13-5475	2B23F
13-5539	2B257
13-553A	2B238
13-553C	2B243
